Entity1,Entity2
https://saref.etsi.org/saref4bldg/TubeBundle,https://sargon-n5geh.netlify.app/ontology/1.0/classes/Tube_bundle
http://www.w3.org/2003/01/geo/wgs84_pos#location,https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/location
https://saref.etsi.org/core/hasTimestamp,https://w3id.org/saref#hasTimestamp
https://saref.etsi.org/core/hasValue,https://w3id.org/saref#hasValue
https://saref.etsi.org/core/isMeasuredIn,https://w3id.org/saref#isMeasuredIn
https://saref.etsi.org/core/relatesToProperty,https://w3id.org/saref#relatesToProperty
https://saref.etsi.org/saref4bldg/contributedLuminousFlux,https://w3id.org/saref#relatesToProperty
https://saref.etsi.org/saref4bldg/nominalSupplyVoltage,https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/primary_voltage
https://saref.etsi.org/saref4bldg/nominalSupplyVoltage,https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/voltage_level
https://saref.etsi.org/saref4bldg/operationTemperatureMin,https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/lower_limit
https://saref.etsi.org/saref4bldg/primaryCurrent,https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/primary_current
https://saref.etsi.org/saref4bldg/primaryVoltage,https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/primary_voltage
https://saref.etsi.org/saref4bldg/secondaryCurrent,https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/secondary_current
https://saref.etsi.org/saref4bldg/secondaryVoltage,https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/secondary_voltage
